1,2.32008980
2,1.85972500
3,1.62819141
4,1.44879035
5,1.30264546
6,1.18768143
7,1.09390946
8,1.00619779
9,0.94038338
10,0.88050908
11,0.82698349
12,0.77954706
13,0.73733905
14,0.69765794
15,0.66260427
16,0.62933859
17,0.59860082
18,0.57038469
19,0.54382054
20,0.51919979
21,0.49587002
22,0.47435523
23,0.45374584
24,0.43492108
25,0.41673452
26,0.40022720
27,0.38414722
28,0.36923425
29,0.35493345
30,0.34147421
31,0.32951295
32,0.31752438
33,0.30695002
34,0.29615634
35,0.28668158
36,0.27716598
37,0.26852045
38,0.26049000
39,0.25280222
40,0.24551297
41,0.23862050
42,0.23239420
43,0.22632533
44,0.22082667
45,0.21546978
46,0.21045477
47,0.20599355
48,0.20092318
49,0.19711523
50,0.19309785
