1,1.29423089
2,0.62120774
3,0.40623499
4,0.29728253
5,0.22569024
6,0.18215132
7,0.15505138
8,0.13903196
9,0.13244463
10,0.12517386
11,0.12155455
12,0.11871332
13,0.11670696
14,0.11477984
15,0.11367316
16,0.11249380
17,0.11131588
18,0.11026200
19,0.10950650
20,0.10904623
21,0.10832994
22,0.10747874
23,0.10697704
24,0.10662575
25,0.10585379
26,0.10576029
27,0.10529618
28,0.10538607
29,0.10474590
30,0.10414734
31,0.10419062
32,0.10329748
33,0.10346026
34,0.10311370
35,0.10319385
36,0.10247680
37,0.10271949
38,0.10230498
39,0.10221268
40,0.10176431
41,0.10162340
42,0.10120845
43,0.10138425
44,0.10118924
45,0.10110835
46,0.10127963
47,0.10129114
48,0.10074092
49,0.10108313
50,0.10045616
